Hanja,Pronunciation,Definition,Alternate Pronunciation,Examples,Radicals,Reading Level,Writing Level
映,영,비출,,"映畵 - 영화 (a movie)
映像暎像 - 영상 (image)
反映- - 반영하다 (reflect, be reflected)
映畵祭 - 영화제 (movie festival)
映畵館 - 영화관 (movie theater)
映畵俳優 - 영화배우 (movie actor)
","ノ, 大, 日",4,3
藝,예,재주,,"藝術 - 예술 (art)
藝術的 - 예술적인 (artistic)
演藝人 - 연예인 (a performer, an entertainer)
藝術家 - 예술가 (an artist)
文藝 - 문예 (literature)
園藝 - 원예 (gardening)
","丶, 二, 儿, 厶, 九, 土, 艾",4II,3II
豫,예,미리,,"豫定 - 예정 (program)
豫定 - 예정하다 (schedule)
豫約 - 예약 (subscription)
豫想 - 예상 (forecast)
豫想 - 예상하다 (prefigure)
豫算 - 예산 (budget)
","｜, 亅, 勹, マ, 口, 矛, 豕",4,3
譽,예,기릴,,"名譽 - 명예 (honor)
","八, 臼, 言",3II,2
銳,예,날카로울,,,,3,2
五,오,다섯,,"五 - 오 (five)
五十 - 오십 (fifty)
五月 - 오월 (May)
","一, 二",8,6II
吾,오,나,,,"一, 口, 五",3,2
悟,오,깨달을,,"覺悟 - 각오 (determination, resolve)
","一, 口, 忙",3II,2
午,오,낮,,"午後 - 오후 (afternoon)
午前 - 오전 (morning)
正午 - 정오 (noon)
午餐 - 오찬 (dinner)
子午線 - 자오선 (meridian)
","ノ, 十, 干",7II,6
誤,오,그르칠,,"誤傳 - 오전 (misinformation)
誤解 - 오해 (misunderstanding)
誤算 - 오산 (miscalculation)
誤報 - 오보 (misinformation)
誤差 - 오차 (error)
試行錯誤 - 시행착오 (trial and error)
","八, 口, 言",4II,3II
烏,오,까마귀,,,"杰, 鳥",3II,2
汚,오,더러울,,"汚染 - 오염 (pollution)
環境汚染 - 환경오염 (environmental pollution)
汚物 - 오물 (dirt)
汚名 - 오명 (stigma)
汚点汚點 - 오점 (stain)
","一, 汁",3,2
嗚,오,슬플/흐느낄,,,"口, 杰, 鳥",3,2
娛,오,즐길,,"娛樂 - 오락 (entertainment)
",,3,2
傲,오,오만할,,"傲慢 - 오만 (insolence)
","化, 土, 攵, 方",3,2
玉,옥,구슬,,"鋼玉 - 강옥 (corundum)
硬玉 - 경옥 (jadeite)
藍玉 - 남옥 (aquamarine stone)
碧玉 - 벽옥 (jasper)
玉座 - 옥좌 (throne)
靑玉 - 청옥 (sapphire)
","丶, 王",4II,3II
屋,옥,집,,"屋上 - 옥상 (rooftop)
家屋 - 가옥 (house)
","厶, 土, 尸, 至",5,4
獄,옥,옥,,"地獄 - 지옥 (hell)
監獄 - 감옥 (prison)
投獄 - 투옥 (imprisonment)
煉獄 - 연옥 (purgatory)
疑獄 - 의옥 (scandal)
","犯, 犬, 言",3II,2
溫,온,따뜻할,,"溫度 - 온도 (temperature)
氣溫 - 기온 (temperature)
溫泉 - 온천 (hot spring)
體溫 - 체온 (body temperature)
溫突 - 온돌 (Korean under-floor heating system)
",,6,5
翁,옹,늙은이,,"信天翁 - 신천옹 (albatross)
","八, 冫, 厶, 羽",3,2
擁,옹,낄/안을,,"抱擁 - 포옹 (embrace)
抱擁 - 포옹하다 (embrace)
","亠, 扎, 隹",3,2
瓦,와,기와,,,"一, 瓦",3II,2
臥,와,누울,,,"人, 臣",3,2
完,완,완전할,,"完全 - 완전 (perfection)
完璧- - 완벽하다 (perfect)
完成 - 완성 (perfection)
完成 - 완성하다 (finish)
完了 - 완료 (completion)
完了 - 완료하다 (close)
","二, 儿, 宀, 元",5,4
緩,완,느릴/느슨할,,,"一, 夂, 爪, 糸",3II,2
曰,왈,가로,,,曰,3,2
王,왕,임금,,"王 - 왕 (king)
王子 - 왕자 (prince)
女王 - 여왕 (queen)
王國 - 왕국 (kingdom)
王妃 - 왕비 (queen)
世宗大王 - 세종대왕 (Sejong the Great (invented Hangul, the modern Korean script))
",王,8,6II
往,왕,갈,,"往診 - 왕진 (house call)
","丶, 彳, 王",4II,3II
外,외,바깥,,"海外 - 해외 (overseas)
外 - 외 (except, save for)
除外 - 제외 (exclusion)
外部 - 외부 (external)
外國人 - 외국인 (foreigner)
外國 - 외국 (a foreign country)
","卜, 夕",8,6II
畏,외,두려워할,,,"一, 田, 衣",3,2
要,요,요긴할,,"必要 - 필요 (need, requirement,necessity)
必要- - 필요하다 (to need)
必要性 - 필요성 (necessity )
重要 - 중요 (important, crucial, significant)
重要- - 중요하다 (to be important, weighty)
重要視- - 중요시하다 (emphasize, regard sth as important, to be crucial)
","女, 西",5II,4II
腰,요,허리,,"腰部 - 요부 (waist)
腰痛 - 요통 (lumbago)
","女, 月, 西",3,2
搖,요,흔들,,"動搖 - 동요 (excitement)
","凵, 夕, 扎, 缶",3,2
遙,요,멀,,,"丶, 込, 夕, 缶",3,2
謠,요,노래,,"歌謠 - 가요 (a song)
童謠 - 동요 (nursery rhyme)
民謠 - 민요 (folk song)
","凵, 夕, 缶, 言",4II,3II
欲,욕,"하고자, 할",,"意欲 - 의욕 (volition, will, desire, drive)
慾望欲望 - 욕망 (appetite)
欲心 - 욕심 (greed, selfishness)
情慾情欲 - 정욕 (passion)
","个, 八, 口, 欠, 谷",3II,2
浴,욕,목욕할,,"沐浴 - 목욕 (bathing)
海水浴場 - 해수욕장 (beach)
浴室 - 욕실 (bathroom)
浴槽 - 욕조 (bathtub)
沐浴湯 - 목욕탕 (a bathhouse)
日光浴 - 일광욕 (sunbathing)
","个, 八, 口, 汁, 谷",5,4
慾,욕,욕심,,"慾望欲望 - 욕망 (appetite)
慾心 - 욕심 (greed)
慾求 - 욕구 (desire)
貪慾 - 탐욕 (greed)
食慾 - 식욕 (appetite, desire)
禁慾 - 금욕 (abstinence)
","个, 八, 口, 心, 欠, 谷",3II,2
辱,욕,욕될,,"辱 - 욕 (an insult)
辱- - 욕하다 (swear, cuss, insult; abuse)
侮辱 - 모욕 (insult)
侮辱 - 모욕하다 (insult)
屈辱 - 굴욕 (humiliation)
屈辱的 - 굴욕적인 (humiliating)
","厂, 寸, 衣, 辰",3II,2
用,용,쓸,,"使用 - 사용 (use)
利用 - 이용 (to use)
利用- - 이용하다 (to use, make use of)
利用- - 이용되다 (to be used)
適用 - 적용 (application)
適用- - 적용하다 (to apply (sth to sth else))
",用,6II,
容,용,얼굴,,"內容 - 내용 (matter)
容器 - 용기 (vessel)
許容 - 허용 (permission)
容恕 - 용서 (pardon, forgiveness)
容恕- - 용서하다 (to pardon, to forgive, absolve)
容量 - 용량 (capacity)
","个, 八, 口, 宀, 穴, 谷",4II,3II
勇,용,날랠,,"勇氣 - 용기 (nerve)
勇敢 - 용감 (gallantry)
勇士 - 용사 (hero)
","力, マ, 田",6II,5II
庸,용,떳떳할,,"中庸 - 중용 (moderation)
","广, ヨ, 用, 聿",3,2
于,우,어조사,,"于先 - 우선 (firstly, first of all; before everything)
","亅, 二",3,2
宇,우,집,,"宇宙 - 우주 (universe)
小宇宙 - 소우주 (microcosm)
","亅, 宀, 干",3II,2
右,우,오른,,"左右 - 좌우하다 (influence)
右舷 - 우현 (starboard)
","一, ノ, 口",7II,6
友,우,벗,,"友情 - 우정 (friendship)
友好的 - 우호적인 (amicable)
級友 - 급우 (classmate)
","一, ノ, 又",5II,4II
牛,우,소,,"牛乳 - 우유 (milk)
牽牛星 - 견우성 (Altair)
牛痘 - 우두 (cow pox)
牛車 - 우차 (oxcart)
海牛 - 해우 (manatee)
",牛,,4
雨,우,비,,"雨傘 - 우산 (an umbrella)
雨期 - 우기 (rainy season)
豪雨 - 호우 (downpour)
降雨 - 강우 (rainfall)
暴風雨 - 폭풍우 (storm)
晴雨計 - 청우계 (barometer)
",雨,5II,4II
憂,우,근심,,"憂慮 - 우려 (worry,anxiety,fear)
憂鬱 - 우울 (gloom)
","一, 冖, 夂, 心, 自",3II,2
又,우,또,,,又,3,2
尤,우,더욱,,,"丶, 尢, 尤",3,2
遇,우,만날,,"境遇 - 경우 (a case; an instance)
待遇 - 대우 (treatment)
","冂, 厶, 込, 田, 禹",4,3
羽,우,깃,,,"冫, 羽","Reading error 羽, 1103","Writing error 羽, 1103"
郵,우,우편/역참,,"郵便 - 우편 (postal service)
郵遞局 - 우체국 (a post office)
郵票 - 우표 (a postage stamp)
郵送 - 우송 (mailing)
","一, ｜, ノ, 邦",4,3
愚,우,어리석을,,"愚鈍 - 우둔 (stupidity)
","冂, 厶, 心, 田, 禹",3II,2
偶,우,짝,,"配偶者 - 배우자 (spouse)
偶然 - 우연 (fortuity)
偶像 - 우상 (image)
","化, 冂, 厶, 田, 禹",3II,2
優,우,넉넉할,,"俳優 - 배우 (player)
優秀 - 우수 (excellence)
優勝 - 우승 (first place)
優勝- - 우승하다 (to take first place)
優雅 - 우아 (refinement)
優待 - 우대 (preferential treatment)
","一, 化, 冖, 夂, 心, 白",4,3
云,운,이를,,,"一, 二, 厶",3,2
雲,운,구름,,"星雲 - 성운 (nebula)
卷積雲 - 권적운 (cirrocumulus)
白雲石 - 백운석 (dolomite)
雲母 - 운모 (mica)
戰雲 - 전운 (war cloud)
層積雲 - 층적운 (stratocumulus)
","一, 二, 厶, 雨",5II,4II
運,운,옮길,,"運動 - 운동 (exercise)
運營- - 운영하다 (manage, administer)
運動靴 - 운동화 (sneakers, tennis shoes, running shoes, cleats)
運 - 운 (fortune, luck, fate)
運轉 - 운전 (driving)
運命 - 운명 (fate)
","冖, 込, 車",6II,5II
韻,운,운,,"頭韻 - 두운 (alliteration)
韻文 - 운문 (poetry)
韻律 - 운율 (rhythm)
","口, 日, 立, 貝, 音",3II,2
雄,웅,수컷,,"英雄 - 영웅 (hero)
英雄的 - 영웅적인 (heroic)
雄弁雄辯 - 웅변 (eloquence)
雄大 - 웅대 (grandeur)
","一, ノ, 厶, 隹",5,4
元,원,으뜸,,"元來 - 원래 (originally)
次元 - 차원 (dimension)
紀元 - 기원 (era)
元帳 - 원장 (ledger)
元素 - 원소 ((chemical) element)
紀元前 - 기원전 (B.C.)
","二, 儿, 元",5II,4II
原,원,언덕,,"原因 - 원인 (source)
原則 - 원칙 (principle)
起原 - 기원 (rise)
原理 - 원리 (principle)
原稿 - 원고 (a manuscript)
江原道 - 강원도 (region surrounding Seoul)
","厂, 小, 白",5,4
願,원,원할,,"願- - 원하다 (to want)
祈願 - 기원 (prayer)
所願 - 소원 (wish)
請願者 - 청원자 (petitioner)
願書 - 원서 (an application form, a written request)
哀願 - 애원 (petition)
","厂, 小, 白, 貝, 頁",5,4
遠,원,멀,,"永遠 - 영원히 (forever)
永遠 - 영원 (eternity)
疎遠 - 소원 (estrangement)
望遠鏡 - 망원경 (telescope)
遠心力 - 원심력 (centrifugal force)
遠心分離機 - 원심분리기 (centrifugal machine)
","込, 口, 土, 衣",6,5
園,원,동산,,"公園 - 공원 (park)
學園 - 학원 (campus)
庭園 - 정원 (garden)
田園 - 전원 (country)
幼稚園 - 유치원 (kindergarten)
花園 - 화원 (flower garden)
","口, 囗, 土, 衣",6,5
怨,원,원망할,,"怨恨 - 원한 (grudge)
","卩, 夕, 心",4,3
圓,원,둥글,,"圓 - 원 (a circle)
圓柱 - 원주 (cylinder)
大團圓 - 대단원 (finale)
圓筒 - 원통 (cylinder)
楕円楕圓 - 타원 (ellipse)
圓卓 - 원탁 (round table)
","口, 囗, 貝",4II,3II
員,원,인원/관원,,"議員 - 의원 (a member)
委員長 - 위원장 (a chairman of a committee)
委員 - 위원 (committee member)
職員 - 직원 (staff)
會員 - 회원 (a member of a society)
要員 - 요원 (personnel)
","口, 貝",4II,3II
源,원,근원,,"水源 - 수원 (fountainhead)
資源 - 자원 (resources )
起源 - 기원 (origin)
源泉 - 원천 (source)
根源 - 근원 (source)
財源 - 재원 (resource)
","厂, 小, 汁, 白",4,3
援,원,도울,,"支援 - 지원 (backing)
支援 - 지원하다 (support)
後援 - 후원하다 (patronize)
應援 - 응원 (cheer)
救援 - 구원 (rescue)
","ノ, 又, 扎, 爪",4,3
院,원,집,,"病院 - 병원 (hospital)
學院 - 학원 (academy)
法院 - 법원 (court of justice)
大學院 - 대학원 (graduate school)
院長 - 원장 (the chief, the head of)
入院 - 입원 (hospitalization)
","二, 儿, 宀, 阡, 元",5,4
月,월,달,,"月 - 월 (a month)
個月 - 개월 (each and every month)
歲月 - 세월 (the times, things)
月曜日 - 월요일 (Monday)
月給 - 월급 (monthly salary)
月貰 - 월세 (monthly rent)
",月,8,6II
越,월,넘을,,"卓越 - 탁월 (excellence)
","土, 戈, 走",3II,2
位,위,자리,,"位 - 위 (position, grade, rank)
位置 - 위치 (situation)
順位 - 순위 (order, ranking)
單位 - 단위 (a unit, a monad)
部位 - 부위 (a region, part)
學位 - 학위 (degree)
","化, 立",5,4
危,위,위태할,,"危害 - 위해 (injury)
危險 - 위험 (peril)
危險性 - 위험성 (riskiness, jeopardy)
危機 - 위기 (crisis)
","勹, 厂",4,3
爲,위,할,,"行爲 - 행위 (deed)
爲- - 위하다 (to do for the sake of)
爲主 - 위주 (put first in importance)
無爲 - 무위 (idleness)
","尸, 杰, 爪",4II,3II
偉,위,클/훌륭할,,"偉大 - 위대 (greatness)
偉力 - 위력 (influence)
","化, 口, 韋",5II,4II
威,위,위엄,,"威脅 - 위협 (menace, threat, intimidation)
示威 - 시위 (a demonstration)
權威 - 권위 (authority)
威嚴 - 위엄 (dignity)
","ノ, 厂, 女, 戈",4,3
胃,위,위장,,"胃 - 위 (the stomach)
胃下垂 - 위하수 (gastroptosis)
胃鏡 - 위경 (gastroscope)
胃液 - 위액 (gastric juice)
胃炎 - 위염 (gastritis)
胃痛 - 위통 (gastralgia)
","月, 田",3II,2
謂,위,이를,,"所謂 - 소위 (what is called for)
","月, 田, 言",3II,2
圍,위,에워쌀,,"雰圍氣 - 분위기 (atmosphere, surroundings)
周圍 - 주위 (surrounding)
範圍 - 범위 (range)
包圍 - 포위 (envelopment)
","口, 囗, 韋",4,3
緯,위,씨,,"緯線 - 위선 (parallel)
緯度 - 위도 (latitude)
","口, 糸, 韋",3,2
衛,위,지킬,,"衛星 - 위성 (satellite)
防衛 - 방위 (defense)
護衛 - 호위 (escort)
護衛 - 호위하다 (escort)
前衛 - 전위 (vanguard)
後衛 - 후위 (rear guard)
","口, 彳, 行, 韋",4II,3II
違,위,어긋날/어길,,"違反 - 위반 (breach)
違反 - 위반하다 (infract)
違法 - 위법 (illegality)
違背 - 위배 (violation)
","込, 口, 韋",3,2
委,위,맡길,,"委員長 - 위원장 (a chairman of a committee)
委員 - 위원 (committee member)
委託 - 위탁하다 (trust)
委任 - 위임하다 (entrust)
","女, 禾",4,3
慰,위,위로할,,"慰勞 - 위로 (consolation, solace)
慰勞- - 위로하다 (to console, cheer sb up)
慰安 - 위안 (solace)
慰安 - 위안하다 (comfort)
慰安者 - 위안자 (comforter)
慰藉 - 위자 (consolation)
","寸, 尸, 心, 示",4,3
僞,위,거짓,,"僞裝 - 위장 (camouflage)
僞裝 - 위장하다 (camouflage)
僞造 - 위조 (forgery)
僞善 - 위선 (hypocrisy)
僞證 - 위증 (perjury)
","化, 杰, 爪",3II,2
由,유,말미암을,,"理由 - 이유 (reason)
自由 - 자유 (liberty)
由來 - 유래 (derivation)
自由女神像 - 자유 여신상 (statue of liberty)
","｜, 日, 田",6,5
油,유,기름,,"石油 - 석유 (petroleum)
魚油 - 어유 (fish oil)
香油 - 향유 (balm)
鑛油 - 광유 (mineral oil)
桐油 - 동유 (tung oil)
燈油 - 등유 (kerosene)
","｜, 汁, 日, 田",6,5
酉,유,닭,,,酉,3,2
有,유,있을,,"有志 - 유지 (volunteer)
有名 - 유명 (famous, well-known, renowned)
有名- - 유명하다 (to be famous)
有利- - 유리하다 (to be profitable, favorable)
保有 - 보유 (retention)
所有 - 소유 (possession)
","一, ノ, 月",7,6
猶,유,오히려,,,"八, 犯, 酉",3II,2
唯,유,오직,,"唯一 - 유일 (only one)
唯心論 - 유심론 (spiritualism)
","口, 隹",3,2
遊,유,놀,,"遊星 - 유성 (planet)
夢遊病 - 몽유병 (somnambulism)
夢遊病者 - 몽유병자 (sleepwalker)
遊休 - 유휴 (fallow)
遊休 - 유휴하다 (fallow)
","込, 子, 方",4,3
柔,유,부드러울,,"柔道 - 유도 (judo)
懷柔 - 회유 (conciliation)
柔弱 - 유약 (weakness)
","マ, 木, 矛",3II,2
遺,유,남길,,"補遺 - 보유 (supplement)
遺産 - 유산 (inheritance)
遺棄 - 유기 (desertion)
遺傳 - 유전 (heredity)
遺骸 - 유해 (remain)
遺物 - 유물 (a relic, antiquity, artifact)
","一, 込, 口, 貝",4,3
幼,유,어릴,,"幼稚園 - 유치원 (kindergarten)
幼兒 - 유아 (infant)
幼年 - 유년 (infancy)
幼蟲 - 유충 (larva)
幼生 - 유생 (larva)
幼少 - 유소 (infancy)
","力, 幺",3II,2
幽,유,그윽할,,"幽靈 - 유령 (specter)
幽門 - 유문 (pylorus)
幽閉 - 유폐 (incarceration)
","｜, 凵, 幺",3II,2
惟,유,생각할,,,"忙, 隹",3,2
維,유,벼리,,"維持 - 유지 (maintenance)
","糸, 隹",3II,2
乳,유,젖,,"乳酸 - 유산 (lactic acid)
牛乳 - 우유 (milk)
乳房 - 유방 (breast)
乳腺 - 유선 (mammary gland)
煉乳 - 연유 (condensed milk)
乳母車 - 유모차 (stroller, baby carriage)
","乙, 子, 爪",4,3
儒,유,선비,,"儒學 - 유학 (Confucianism)
儒敎 - 유교 (Confucianism)
","化, 而, 雨",4,3
裕,유,넉넉할,,"餘裕 - 여유 (room)
","个, 八, 口, 初, 谷",3II,2
誘,유,꾈,,"誘導 - 유도 (inducement)
誘惑 - 유혹 (allurement)
誘惑 - 유혹하다 (tempt)
誘發 - 유발하다 (induce)
誘引 - 유인 (inducement)
勸誘 - 권유 (solicitation)
","乃, 禾, 言",3II,2
愈,유,나을,,,"个, 刈, 心, 月",3,2
悠,유,멀,,,"｜, 化, 夂, 心, 攵",3II,2
肉,육,고기,,"筋肉 - 근육 (sinew)
肉體 - 육체 (the flesh, the body)
肉體的 - 육체적 (physically, corporeal, of the flesh)
肉眼 - 육안 (naked eye)
肉腫 - 육종 (sarcoma)
弱肉强食 - 약육강식 (survival of the fittest)
","人, 冂, 肉",4II,3II
育,육,기를,,"敎育 - 교육 (education)
體育 - 체육 (physical education)
體育館 - 체육관 (gymnasium)
育兒 - 육아 (nursing)
養育 - 양육 (upbringing, child-rearing)
飼育 - 사육 (breeding)
","亠, 厶, 月",7,6
閏,윤,윤달,,"閏年 - 윤년 (leap year)
","王, 門",3,2
潤,윤,불을/젖을/윤택할,,"潤澤 - 윤택 (abundance)
潤滑油 - 윤활유 (lubricating oil)
","汁, 王, 門",3II,2
恩,은,은혜,,"恩惠 - 은혜 (grace)
恩赦 - 은사 (amnesty)
恩人 - 은인 (benefactor)
忘恩 - 망은 (ingratitude)
","囗, 大, 心",4II,3II
銀,은,은,,"銀 - 은 (silver)
銀行 - 은행 (bank)
銀河 - 은하 (galaxy)
銀杏- - 은행나무 (a ginko tree)
","艮, 金",6,5
隱,은,숨을,,"隱退 - 은퇴 (seclusion)
隱蔽 - 은폐 (concealment)
隱隱- - 은은하다 (soft, gentle, delicate)
隱匿 - 은닉 (concealment)
隱語 - 은어 (cant)
隱居 - 은거 (retirement)
","工, ヨ, 阡, 心, 爪",4,3
乙,을,새,,,乙,3II,2
音,음,소리,,"音樂 - 음악 (music)
錄音 - 녹음 (recording)
錄音- - 녹음하다 (to record)
音聲 - 음성 (voice)
發音 - 발음 (pronunciation)
發音- - 발음하다 (pronounce)
","日, 立, 音",6II,5II
吟,음,읊을,,"吟味 - 음미 (scrutiny)
再吟味 - 재음미 (review)
","个, 口",3,2
飮,음,마실,,"飮食 - 음식 (food)
飮料 - 음료 (a beverage, a drink)
飮酒 - 음주 (drinking (alcohol))
飮料水 - 음료수 (drinking water)
飮食店 - 음식점 (restaurant)
飮食物 - 음식물 (food and drink)
","｜, 个, 欠, 食",6II,5II
陰,음,그늘,,"陰性 - 음성 (negative (test result))
陰謀 - 음모 (conspiracy)
陰曆 - 음력 (the lunar calendar)
陰莖 - 음경 (penis)
陰陽 - 음양 (yin and yang)
陰脣 - 음순 (labium)
","二, 个, 厶, 阡",4II,3II
淫,음,음란할,,"催淫劑 - 최음제 (aphrodisiac)
手淫 - 수음 (onanism)
","ノ, 士, 汁, 爪, 王",3II,2
邑,읍,고을,,,"口, 巴",7,6
泣,읍,울,,,"汁, 立",3,2
應,응,응할,,"反應 - 반응 (response)
對應 - 대응 (correspondence)
應援 - 응원 (cheer)
應答 - 응답 (response)
應用 - 응용 (application)
適應 - 적응 (adaptation)
","化, 广, 心, 隹",4II,3II
凝,응,엉길,,"凝視 - 응시 (stare)
凝視 - 응시하다 (stare)
凝縮 - 응축 (condensation)
凝結 - 응결 (solidification)
","冫, 匕, マ, 疋, 矢",3,2
衣,의,옷,,"衣裳 - 의상 (dress)
衣類 - 의류 (clothing)
衣服 - 의복 (clothes)
法衣 - 법의 (vestment)
","亠, 衣",6,5
依,의,의지할/기댈,,"依- - 의하다 (to be due to, owing to)
依支- - 의지하다 (count on, depend on, rely on)
依存 - 의존 (dependence)
依存 - 의존하는 (dependent)
歸依 - 귀의 (devotion)
","亠, 化, 衣",4,3
義,의,옳을,,"正義 - 정의 (righteousness)
主義 - 주의 (rule)
講義 - 강의 (a lecture, discourse)
講義- - 강의하다 (to give a lecture)
義務 - 의무 (responsibility)
義務的 - 의무적인 (compulsory)
","一, 亅, 八, 戈, 手, 王, 羊",4II,3II
