Hanja,Pronunciation,Meaning_K,Alternate Pronunciation,Examples,Radicals,Reading Level,Writing Level,Strokes,Meaning_E
勤,근,부지런할,,"勤務 - 근무 (service)
","力, 口, 土, 艾",4,3,13,"industrious,  diligent,  attentive "
根,근,뿌리,,"根據 - 근거 (foundation)
","木, 艮",6,5,10,"root,  base( d  on) foundation "
斤,근,도끼,,,斤,3,2,4,"a  catty  approximately  g) an  axe;  keen,  shrewd;  angX i  radical  number "
僅,근,겨우,,,"化, 口, 土, 艾",3,2,13,"only,  merely,  solely,  just "
謹,근,삼갈,,,"口, 土, 艾, 言",3,2,18,"prudent,  cautious;  attentive "
金,금,쇠,"성, 김","現金 - 현금 (ready money)
",金,8,6II,8,gold;  metals  in  general;  money 
今,금,이제,,"只今 - 지금 (now)
",个,6II,5II,4,"now,  today,  modern  era "
禁,금,금할,,"禁止 - 금지 (prohibition)
","木, 示",4II,3II,,"restrict,  prohibit,  forbid "
錦,금,비단,,,"巾, 白, 金",3II,2,16,"brocade,  tapestry;  embroidered "
禽,금,날짐승,,"家禽 - 가금 (poultry)
","丶, ノ, 亠, 个, 冂, 凵, 厶, 禹",3II,2,12,"birds,  fowl;  surname; capture "
琴,금,거문고,,"木琴 - 목금 (xylophone)
","个, 王",3II,2,12,hinese  lute  or  guitar 
及,급,미칠,,"言及 - 언급 (reference)
","丶, 乃, 及",3II,2,3,extend;  reach;  come  up  to;  and 
給,급,줄,,"供給 - 공급 (supply)
","个, 口, 糸",5,4,12,"give;  by,  for "
急,급,급할,,"緊急 - 긴급 (emergency)
","勹, ヨ, 心",6II,5II,9,"quick,  quickly;  urgent,  pressing "
級,급,등급,,"級 - 급 (class, grade, rank)
","ノ, 及, 糸",6,5,9,"level,  rank,  class;  grade "
肯,긍,즐길,,"肯定的 - 긍정적 (affirmation, admission)
","月, 止",3,2,8,"willing;  consent  to,  permit "
己,기,몸,,"自己 - 자기 (self)
",已,5II,4II,3,"self,  oneself;  personal,  private;  th  heavenly  stem "
記,기,기록할,,"記錄 - 기록 (a record,  a document)
","已, 言",Could not retrieve reading level.,6,10,"record;  keep  in  mind,  remember "
起,기,일어날,,"起源 - 기원 (origin)
","土, 已, 走",4II,3II,10,"rise,  stand  up;  go  up;  begin "
其,기,그,,"其他 - 기타 (the others or  the rest)
","一, 八, 甘",3II,2,8,"his,  her,  its,  their;  that "
期,기,기약할,,"期待 - 기대 (hope)
","八, 月, 甘",5,4,12,period  of  time;  date;  time  limit 
基,기,터,,"基準 - 기준 (a standard or basis)
","一, 八, 土, 甘",5II,4II,11,"foundation,  base "
氣,기,기운,,"磁氣 - 자기 (magnetism)
","气, 米",7II,6,10,"air,  gas,  steam,  vapor;  spirit "
技,기,재주,,"餘技 - 여기 (avocation)
","十, 又, 扎, 支",5,4,7,"skill,  ability,  talent,  ingenuity "
幾,기,기미,,,"ノ, 幺, 戈",3,2,12,"how  many?  how  much? a  few,  some "
旣,기,이미,,"旣成 - 기성 (pre-existing, established)
",,3,2,11,already;  de  facto;  since;  then 
紀,기,벼리,,"世紀 - 세기 (century)
","已, 糸",4,3,9,"record,  annal,  historical  account "
忌,기,꺼릴,,,"已, 心",3,2,7,"jealous,  envious;  fear "
旗,기,기,,"旗 - 기 (flag, ensign, pennant)
","八, 方, 甘",7,6,14,"banner,  flag,  streamer "
欺,기,속일,,"詐欺 - 사기 (swindle)
","八, 欠, 甘",3,2,12,"cheat,  doublecross,  deceive "
奇,기,기특할,,"奇術 - 기술 (magic)
","一, 亅, 口, 大",4,3,8,"strange,  unusual,  uncanny,  occult "
騎,기,"말, 탈",,"騎手 - 기수 (rider)
","一, 亅, 口, 大, 馬",3II,2,18,ride  horseback;  mount;  cavalry 
寄,기,부칠,,"寄與 - 기여 (contribution)
","一, 亅, 口, 大, 宀",4,3,11,"send,  transmit,  mail;  rely  on "
豈,기,어찌,,,"八, 口, 山, 豆",3,2,10,how?  what? 
棄,기,버릴,,"抛棄 - 포기 (resignation)
","一, 亠, 凵, 厶, 木",3,2,12,"reject,  abandon,  discard "
祈,기,빌,,"祈禱 - 기도 (a prayer)
","斤, 礼",3II,2,8,"pray;  entreat,  beseech "
企,기,꾀할,,"企業 - 기업 (enterprise)
","个, 止",3II,2,6,plan  a  project;  stand  on  tiptoe 
畿,기,경기,,"京畿道 - 경기도 (region surrounding Seoul)
","幺, 戈, 田",3II,2,15,imperial  domain;  area  near  capita 
飢,기,주릴,,,"几, 食",3,2,10,"hunger,  starving;  hungry;  a  famine "
器,기,그릇,,"磁器 - 자기 (porcelain)
","口, 大",4II,3II,,"receptacle,  vessel;  instrument "
機,기,틀,,"機會 - 기회 (opportunity)
","丶, ノ, 幺, 戈, 木",4,3,16,"machine;  moment,  chance "
緊,긴,긴할,,"緊張 - 긴장 (tension)
","又, 糸, 臣",3II,2,14,"tense,  tight,  taut;  firm,  secure "
吉,길,길할,,"吉夢 - 길몽 (a lucky dream)
","口, 士",5,4,6,"lucky,  propitious,  good "
那,나,어찌,,"刹那 - 찰나 (instant)
","二, 刀, 邦",3,2,6,"that,  that  one,  those "
諾,낙,허락할,,"承諾 - 승낙 (consent)
","一, ノ, 口, 艾, 言",3II,2,15,"promise;  assent,  approve "
暖,난,따뜻할,,"暖房 - 난방 (a heated room)
","一, ノ, 又, 日, 爪",4II,3II,13,"warm,  genial "
難,난,어려울,,"非難 - 비난 (criticism)
","亠, 口, 大, 艾, 隹",4II,3II,19,"difficult,  arduous,  hard;  unable "
南,남,남녘,,"南 - 남 (south)
","八, 冂, 十, 干",8,6II,,outh;  outhern  part;  outhward 
男,남,사내,,"男子 - 남자 (boy)
","力, 田",7II,6,7,"male,  man;  son;  baron;  surname "
納,납,들일/바칠,,"納得- - 납득하다 (accept, consent, convince, persuade oneself)
","人, 冂, 糸",4,3,10,"admit,  take,  receive,  accept "
娘,낭,아가씨,,,"女, 艮",3II,2,10,mother;  young  girl;  woman;  wife 
內,내,안,,"內 - 내 (inside)
",,7II,6,4,"inside,  interior;  domestic "
乃,내,이에,,"乃至 - 내지 (from a to b)
","一, ｜, ノ",3,2,2,"then;  really,  indeed;  as  it  turned  out,  after  all;  namely "
奈,내,어찌,,,"大, 示",3,2,8,"but,  how;  bear,  stand,  endure "
耐,내,견딜,,"忍耐 - 인내 (endurance)
","寸, 而",3II,2,9,"endure,  bear;  resist;  patient "
女,녀,계집,,"女子 - 여자 (woman)
",女,8,6II,,"woman,  girl;  feminine;  rad. "
年,년,해,,"年 - 년 (year)
","一, ノ, 干",8,6II,6,year;  new- years;  person' s  age 
念,념,생각,,"記念 - 기념 (memory)
","一, ｜, 个, 心",5II,4II,8,"think  of,  recall,  study "
寧,녕,편안할,,"安寧 - 안녕 (hello/goodbye)
","一, 亅, 宀, 心, 買",3II,2,14,"repose,  serenity,  peace;  peaceful "
怒,노,성낼,,"憤怒 - 분노 (rage,anger)
","又, 女, 心",4II,3II,9,"anger,  rage,  passion;  angry "
奴,노,종,,"守錢奴 - 수전노 (miser)
","又, 女",3II,2,,"slave,  servant "
努,노,힘쓸,,"努力 - 노력 (exertion)
","力, 又, 女",4II,3II,7,"to  exert,  strive,  make  an  effort;  to  pout "
農,농,농사,,"農業 - 농업 (agriculture)
","一, ｜, 厂, 日, 衣, 辰",7II,6,13,"agriculture,  farming;  farmer "
腦,뇌,골,,"腦 - 뇌 (brains)
","囗, 川, 月",3II,2,13,brain 
惱,뇌,괴로워할,,"苦惱 - 고뇌 (anguish)
","囗, 川, 忙",3,2,12,"angered,  filled  with  hate "
能,능,능할,,"可能 - 가능 (possibility)
","匕, 厶, 月",5II,4II,10,"to  be  able;  can,  permitted  to;  ability "
泥,니,진흙,,,"匕, 尸, 汁",3II,2,8,"mud,  mire;  earth,  clay;  plaster "
多,다,많을,,"多樣- - 다양하다 (to be various, diverse)
",夕,6,5,6,"much,  many;  more  than,  over "
茶,다,차,,"茶房 - 다방 (tea room)
","个, 艾, 木",3II,2,9,tea 
丹,단,붉을,,"丹毒 - 단독 (erysipelas)
","一, 丶, ノ, 亅",3II,2,4,cinnabar  native  gS vermilion  artificial  gS  used  as  pigment) 
但,단,다만,,"但只 - 단지 (simple, merely)
","一, 化, 日",3II,2,7,"only;  but,  however,  yet,  still "
單,단,홑,,"單 - 단 (only one, alone)
","十, 口, 田",4II,3II,12,"single,  individual,  only;  lone "
短,단,짧을,,"短篇 - 단편 (a piece, fragment)
","八, 口, 矢, 豆",6II,5II,12,"short;  brief;  deficient,  lacking "
端,단,끝,,"極端 - 극단 (extremity)
","山, 立, 而",4II,3II,14,"end,  extreme;  head;  beginning "
旦,단,아침,,"一旦 - 일단 (temporarily)
","一, 日",3II,2,5,dawn;  morning;  day 
段,단,층계,,"段 - 단 (a grade or class)
","｜, 殳",4,3,9,"section,  piece,  division "
壇,단,단,,"花壇 - 화단 (flower bed)
","一, 亠, 口, 囗, 土, 日",5,4,16,"altar;  arena,  examination  hall "
檀,단,박달나무,,"紫檀 - 자단 (rosewood)
","一, 亠, 口, 日, 木",4II,3II,17,"sandalwood,  hardwood;  surname "
斷,단,끊을,,"判斷 - 판단 (a judgment, a conclusion)
","｜, 幺, 斤",4II,3II,18,"sever,  cut  off;  interrupt "
團,단,둥글,,"團體 - 단체 (organization)
","十, 厶, 囗, 寸",5II,4II,14,"sphere,  ball,  circle;  mass,  lump "
達,달,통달할,,"傳達 - 전달 (communication)
","八, 込, 土, 王, 羊",4II,3II,12,"arrive  at,  reach;  intelligent "
談,담,말씀,,"相談 - 상담 (consultation)
","火, 言",5,4,15,talk;  conversation;  surname 
淡,담,맑을,,"淡水 - 담수 (fresh water)
","汁, 火",3II,2,11,"weak,  watery;  insipid,  tasteless "
擔,담,멜,,"擔當 - 담당 (charge)
","儿, 厂, マ, 扎, 言",4II,3II,16,"carry,  bear,  undertake "
答,답,대답,,"答 - 답 (answer)
","个, 口, 竹",7II,6,12,"answer,  reply;  return;  assent  to "
畓,답,논,,,,3,2,9,rice  field 
踏,답,밟을,,,"口, 日, 水, 足",3II,2,15,"step  on,  trample,  tread  on,  walk "
堂,당,집,,"食堂 - 식당 (restaurant)
","冖, 口, 土, 尚",6II,5II,11,hall;  government  office 
當,당,마땅,,"當身 - 당신 (you (formal))
","冖, 口, 尚, 田",5II,4II,13,"bear,  accept,  undertake;  just "
唐,당,당나라,,"唐慌- - 당황하다 (be confused)
","一, ｜, 口, 广, ヨ",3II,2,10,ang  dynasty;  hinese 
糖,당,사탕,,"雪糖 - 설탕 (sugar)
","口, 广, 米",3II,2,16,sugar;  candy;  sweets 
黨,당,무리,,"政黨 - 정당 (political party)
","冖, 口, 尚, 杰, 里, 黒",4II,3II,20,"political  party,  gang,  faction "
大,대,큰,,"大統領 - 대통령 (president)
",大,8,6II,3,"big,  great,  vast,  large,  high "
代,대,대신할,,"代 - 대 (era, period)
","化, 弋",6II,5II,5,"replace,  replacement  of  person  or  generation  era,  generation "
待,대,기다릴,,"期待 - 기대 (hope)
","土, 寸, 彳",6,5,9,"treat,  entertain,  receive;  wait "
對,대,대할,,"對 - 대 (versus; a pair, counterpart)
","八, 寸, 王, 羊",6II,5II,14,"correct,  right;  facing,  opposed "
帶,대,띠,,"地帶 - 지대 (zone)
","一, 儿, 冖, 凵, 巾",4II,3II,11,"belt,  girdle,  band,  strap,  zone "
臺,대,대,,"舞臺 - 무대 (stage)
","冖, 厶, 口, 土, 士, 至",3II,2,14,"tower,  lookout;  stage,  platform "
貸,대,빌릴,,"貸出 - 대출 (loan)
","化, 弋, 貝",3II,2,12,lend;  borrow;  pardon 
隊,대,무리,,"軍隊 - 군대 (troop)
","八, 阡, 豕",4II,3II,11,"team,  group;  army  unit "
德,덕,클,,"德分 - 덕분 (thanks to)
",,5II,4II,15,"ethics,  morality,  virtue "
刀,도,칼,,"短刀 - 단도 (dagger)
",刀,3II,2,2,knife;  old  coin;  measure 
到,도,이를,,"到着 - 도착 (arrival)
","刈, 厶, 土, 至",5II,4II,8,"go  to,  arrive,  been  to "
度,도,법도,"""헤아릴 탁""으로도 읽는다.","度 - 도 (degrees (temperature))
","又, 广",6,5,9,"degree,  system;  manner;  to  consider "
道,도,길,,"道 - 도 (road)
","八, 込, 自, 首",7II,6,12,"path,  road,  street;  method,  way "
島,도,섬,,"濟州島 - 제주도 (Jeju island)
","山, 白, 鳥",5,4,10,island 
徒,도,무리,,"使徒 - 사도 (disciple)
","土, 彳, 走",4,3,10,"disciple,  follower;  go  on  foot "
都,도,도읍,,"都市 - 도시 (city)
","邦, 老, 日",5,4,10,"metropolis,  capital;  all,  the  whole;  elegant,  refined "
圖,도,그림,,"製圖 - 제도 (drawing)
","口, 囗",6II,5II,14,"diagram;  chart,  map,  picture "
倒,도,넘어질,,"倒錯 - 도착 (perversion)
","化, 刈, 厶, 土, 至",3II,2,10,fall  over;  lie  down;  take  turns 
挑,도,돋울,,"挑戰 - 도전 (defiance)
","儿, 冫, 扎",3,2,9,a  load  carried  on  the  shoulders;  to  carry 
桃,도,복숭아,,"扁桃 - 편도 (almond)
","儿, 冫, 木",3II,2,10,peach;  marriage;  surname 
跳,도,뛸,,"跳躍 - 도약 (skip)
","儿, 冫, 口, 足",3,2,13,"jump,  leap,  vault,  bounce;  dance "
逃,도,달아날,,"逃亡 - 도망 (escape)
","儿, 冫, 込",4,3,9,"escape,  flee;  abscond,  dodge "
渡,도,건널,,"過渡的 - 과도적인 (transitional)
","又, 广, 汁",3II,2,12,"cross,  ferry  over;  ferry "
陶,도,질그릇,,"陶瓷器 - 도자기 (ceramics, porcelain, earthenware)
","勹, 阡, 缶",3II,2,,"pottery,  ceramics "
途,도,길,,"別途 - 별도 (a separate way)
","亅, 个, 八, 込, 木",3II,2,,"way,  road,  path,  journey;  course "
稻,도,벼,,,"爪, 禾, 臼",3,2,15,"rice  growing  in  field,  rice  plant "
導,도,이끌,,"指導 - 지도 (guidance)
","八, 込, 寸, 自",4II,3II,15,"direct,  guide,  lead,  conduct "
盜,도,훔칠,,"强盜 - 강도 (robber, burglar)
","汁, 欠, 皿",4,3,12,"rob,  steal;  thief,  bandit "
塗,도,칠할,,"塗料 - 도료 (paint)
","亅, 个, 八, 土, 汁, 木",3,2,13,"smear,  daub,  apply,  spread;  paint "
讀,독,읽을,,"讀者 - 독자 (reader)
","儿, 囗, 士, 言, 貝",Could not retrieve reading level.,5II,22,"read,  study;  pronounce "
獨,독,홀로,,"獨逸 - 독일 (Germany)
","勹, 犯, 買, 虫",5II,4II,16,"alone,  single,  solitary,  only "
毒,독,독,,"丹毒 - 단독 (erysipelas)
","亠, 土, 母",4II,3II,9,"poison,  venom;  poisonous "
督,독,감독할,,"監督 - 감독 (supervision)
","卜, 又, 小, 目",4II,3II,13,"supervise,  oversee,  direct "
篤,독,도타울,,,"杰, 竹, 馬, 鳥",3,2,16,"deep,  true,  sincere,  genuine "
豚,돈,돼지,,,"月, 豕",3,2,11,"small  pig,  suckling  pig;  suffle "
敦,돈,도타울,,,"亠, 口, 子, 攵",3,2,12,"esteem;  honest,  candid,  sincere "
突,돌,갑자기,,"衝突 - 충돌 (collision)
","儿, 大, 宀, 穴",3II,2,9,"suddenly,  abruptly,  unexpectedly "
同,동,한가지,,"同時 - 동시 (at the same time; simultaneously)
","一, 冂, 口",7,6,6,"same,  similar;  together  with "
洞,동,골,,"空洞 - 공동 (cavity)
","一, 冂, 口, 汁",7,6,9,"cave,  grotto;  ravine;  hole "
童,동,아이,,"童話 - 동화 (fairy tale)
","立, 里",6II,5II,12,"child,  boy,  servant  boy;  virgin "
冬,동,겨울,,"冬眠 - 동면 (winter sleep)
","丶, 夂, 攵",7,6,5,"winter,  th  lunar  month "
東,동,동녘,,"中東 - 중동 (Middle East)
","一, ｜, 日, 木, 田",8,6II,8,"east,  eastern,  eastward "
動,동,움직일,,"活動 - 활동 (activity)
","一, ｜, 力, 日, 里",7II,6,11,"move,  happen;  movement,  action "
銅,동,구리,,"銅錢 - 동전 ((copper) coin)
","一, 冂, 口, 金",4II,3II,14,"copper,  brass,  bronze  cuprum "
凍,동,얼,,"凍傷 - 동상 (frostbite)
","一, ｜, 冫, 日, 木, 田",3II,2,10,"freeze;  cold,  congeal;  jelly "
斗,두,말,,"北斗七星 - 북두칠성 (Great Bear)
",斗,4II,3II,4,hinese  peck;  liquid  measure 
豆,두,콩,,"軟豆色 - 연두색 (light green)
","八, 口, 豆",4II,3II,7,"beans,  peas;  bean- shaped "
頭,두,머리,,"頭蓋 - 두개 (cranium)
","八, 口, 豆, 貝, 頁",6,5,16,"head;  top;  chief,  first;  boss "
鈍,둔,무딜,,"鈍感 - 둔감 (stolidity)
","屯, 金",3,2,12,"blunt,  obtuse;  dull;  flat;  dull- witted "
屯,둔,"진, 칠",,,"ノ, 乙, 凵, 屯",3,2,4,"village,  hamlet;  camp;  station "
得,득,얻을,,"獲得 - 획득 (acquisition)
","一, 寸, 彳, 日",4II,3II,11,"obtain,  get,  gain,  acquire "
等,등,무리,,"高等學校 - 고등학교 (high school)
","土, 寸, 竹",6II,5II,12,"rank,  grade;  wait;  equal;  etc."
登,등,오를,,"登場 - 등장 (appearance)
","八, 口, 癶, 豆",7,6,12,"rise,  mount,  board,  climb "
燈,등,등,,"燈臺 - 등대 (lighthouse)
","八, 口, 火, 癶, 豆",Could not retrieve reading level.,3II,16,"lantern,  lamp "
騰,등,오를,,"騰貴 - 등귀 (rise)
","八, 月, 馬",3,2,20,fly;  gallop;  run;  prance;  rise 
羅,라,벌일,,"新羅 - 신라 (the Silla Dynasty)
","買, 糸, 隹",4II,3II,19,net  for  catching  birds;  gauze 
落,락,떨어질,,"墜落 - 추락 (falling)
","口, 夂, 汁, 艾",5,4,12,"fall,  drop;  net  income,  surplus "
樂,락,즐길,"""노래 악"", ""좋아할 요""로도 읽는다.","音樂 - 음악 (music)
","幺, 木, 白",6II,5II,15,"happy,  glad;  enjoyable;  music "
絡,락,이을,,"連絡 - 연락 (connection, communication)
","口, 夂, 糸",3II,2,12,"enmesh,  wrap  around;  web,  net "
卵,란,알,,"鷄卵 - 계란 (an egg)
","丶, ノ, 卜",4,3,7,egg;  ovum;  roe;  spawn 
亂,란,어지러울,,"混亂 - 혼란 (disorder)
","乙, 冂, 厶, 爪",4,3,13,"confusion,  state  of  chaos;  create  chaos,  revolt "
蘭,란,난초,,"龍舌蘭 - 용설란 (century plant)
","一, ｜, 艾, 日, 木, 門",3II,2,20,"orchid;  elegant,  graceful "
欄,란,난간,,"欄干 - 난간 (handrail)
","一, ｜, 日, 木, 田, 門",3II,2,21,"railing,  balustrade;  animal  pan "
覽,람,볼,,"觀覽 - 관람 (inspection or  viewing)
","買, 見, 臣",4,3,21,"look  at,  inspect;  perceive "
濫,람,넘칠,,"濫用 - 남용 (misappropriation)
","ノ, 二, 汁, 皿, 臣",3,2,17,"flood,  overflow;  excessive "
浪,랑,물결,,"浪費 - 낭비 (waste)
","汁, 艮",3II,2,10,"wave;  wasteful,  reckless "
郞,랑,사내,,"新郞 - 신랑 (a bridegroom)
",,3II,2,9,gentleman 
廊,랑,사랑채,,"回廊 - 회랑 (gallery)
","广, 邦, 艮",3II,2,11,"corridor,  porch,  veranda "
來,래,올,,"元來 - 원래 (originally)
","一, ｜, 人, 八, 十, 木",7,6,8,"come,  coming;  return,  returning "
冷,랭,찰,,"冷藏庫 - 냉장고 (freezer)
","一, 个, 冫, 卩",5,4,7,"cold,  cool;  lonely "
略,략,간략할/다스릴,,"戰略 - 전략 (strategy)
","口, 夂, 田",4,3,11,"approximately,  roughly;  outline "
掠,략,노략질할,,"侵掠 - 침략 (invasion)
","亠, 口, 小, 扎",3,2,11,"rob,  ransack,  plunder;  pass  by "
良,량,어질,,"良心 - 양심 (conscience)
",艮,5II,4II,7,"good,  virtuous,  respectable "
兩,량,두,,"兩家 - 양가 (both families)
","一, ｜, 入, 冂",4II,3II,8,"two,  both,  pair,  couple;  ounce "
量,량,헤아릴,,"大量 - 대량 (a large quantity)
","一, 日, 里",5,4,12,"measure,  quantity,  capacity "
涼,량,서늘할,,,"亠, 口, 小, 汁",3II,2,11,"cool,  cold;  disheartened "
梁,량,들보,,,"丶, 刀, 汁, 木",3II,2,11,bridge;  beam;  rafters;  surname 
糧,량,양식,,"食糧 - 식량 (ration)
","一, 日, 米, 里",4,3,18,"food,  grain,  provisions "
諒,량,살필,,"諒解 - 양해 (understanding)
","亠, 口, 小, 言",3,2,15,"excuse,  forgive;  guess,  presume "
旅,려,나그네,,"旅行 - 여행 (trip)
","ノ, 方",5II,4II,10,"trip,  journey;  travel;  traveler "
麗,려,고울,,"高麗 - 고려 (region surrounding Seoul)
","一, 冂, 广, 比, 鹿",4II,3II,19,"beautiful,  magnificent,  elegant "
慮,려,생각할,,"顧慮 - 고려 (consideration)
","匕, 卜, 厂, 心, 田, 虍",4,3,15,"be  concerned,  worry  about "
勵,려,힘쓸,,"奬勵 - 장려 (encouragement)
","力, 厂, 田, 禹",3II,2,16,strive;  encourage 
力,력,힘,,"勞力 - 노력 (effort)
",力,7II,6,2,"power,  capability,  influence "
歷,력,지날,,"經歷 - 경력 (one's personal history)
",,5II,4II,16,"take  place,  past,  history "
曆,력,책력,,"-曆 - 달력 (a calendar)
",,3II,2,16,"calendar,  era "
連,련,잇닿을,,"連續 - 연속적인 (continuing)
","込, 車",4II,3II,10,"join,  connect;  continuous;  even "
練,련,익힐,,"訓練 - 훈련하다 (drill)
","｜, 八, 日, 木, 田, 糸",5II,4II,15,"practice,  drill,  exercise,  train "
鍊,련,불릴,,"訓鍊 - 훈련 (training)
",,3II,2,17,"smelt  metals,  forge;  refine "
憐,련,"불쌍히, 여길",,"憐愍 - 연민 (pity)
","夕, 忙, 米, 舛",3,2,15,"pity,  sympathize "
聯,련,연이을,,"關聯 - 관련 (relation)
","幺, 耳",3II,2,17,"connect,  join;  associate,  ally "
戀,련,그리워할/사모할,,"戀愛 - 연애 (love)
","心, 糸, 言",3II,2,23,"love;  long  for,  yearn  for;  love "
蓮,련,연,,"睡蓮 - 수련 (water lily)
","込, 艾, 車",3II,2,13,"lotus,  water  lily;  paradise "
列,렬,벌일,,"配列 - 배열 (arrangement)
","刈, 歹",4II,3II,6,"a  line;  to  arrange  in  order,  classify "
烈,렬,세찰,,"强烈- - 강렬하다 (intense,  strong, severe)
","刈, 歹, 杰",4,3,10,"fiery,  violent,  vehement,  ardent "
裂,렬,찢을,,"分裂 - 분열 (division)
","刈, 歹, 衣",3II,2,12,"split,  crack,  break  open;  rend "
